"","Border","Sector","State.Territory","Year","Type","Number_Arrested"
"691","Southwest","Del Rio","TX",2013,"Mexicans",14005
"692","Southwest","El Centro","CA",2013,"Mexicans",15141
"693","Southwest","El Paso","NM, TX",2013,"Mexicans",10092
"694","Southwest","Laredo","TX",2013,"Mexicans",32772
"695","Southwest","Rio Grande Valley","TX",2013,"Mexicans",57624
"696","Southwest","San Diego","CA",2013,"Mexicans",26223
"697","Southwest","Tucson","AZ",2013,"Mexicans",101092
"698","Southwest","Yuma","CA, AZ",2013,"Mexicans",5286
"699","Southwest","All","CA, AZ, NM, TX",2013,"Mexicans",265409
"700","United States","","USA",2013,"Mexicans",267734
"701","Coast","Livermore","CA",2014,"All",NA
"702","Coast","Miami","FL, GA, SC, NC",2014,"All",2034
"703","Coast","New Orleans","LA, AL, MS, FL",2014,"All",950
"704","Coast","Ramey","PR",2014,"All",958
"705","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2014,"All",3942
"706","North","Blaine","WA, OR",2014,"All",272
"707","North","Buffalo","NY, PA",2014,"All",741
"708","North","Detroit","OH, MI, IN, IL",2014,"All",647
"709","North","Grand Forks","WI, MN, ND",2014,"All",767
"710","North","Havre","MT",2014,"All",91
"711","North","Houlton","ME",2014,"All",45
"712","North","Spokane","MT, ID, WA",2014,"All",269
"713","North","Swanton","NH, VT, NY",2014,"All",506
"714","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2014,"All",3338
"715","Southwest","Big Bend","TX",2014,"All",4096
"716","Southwest","Del Rio","TX",2014,"All",24255
"717","Southwest","El Centro","CA",2014,"All",14511
"718","Southwest","El Paso","NM, TX",2014,"All",12339
"719","Southwest","Laredo","TX",2014,"All",44049
"720","Southwest","Rio Grande Valley","TX",2014,"All",256393
"721","Southwest","San Diego","CA",2014,"All",29911
"722","Southwest","Tucson","AZ",2014,"All",87915
"723","Southwest","Yuma","CA, AZ",2014,"All",5902
"724","Southwest","All","CA, AZ, NM, TX",2014,"All",479371
"725","United States","","USA",2014,"All",486651
"726","Coast","Livermore","CA",2014,"Mexicans",NA
"727","Coast","Miami","FL, GA, SC, NC",2014,"Mexicans",277
"728","Coast","New Orleans","LA, AL, MS, FL",2014,"Mexicans",465
"729","Coast","Ramey","PR",2014,"Mexicans",0
"730","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2014,"Mexicans",742
"731","North","Blaine","WA, OR",2014,"Mexicans",58
"732","North","Buffalo","NY, PA",2014,"Mexicans",294
"733","North","Detroit","OH, MI, IN, IL",2014,"Mexicans",431
"734","North","Grand Forks","WI, MN, ND",2014,"Mexicans",532
"735","North","Havre","MT",2014,"Mexicans",51
"736","North","Houlton","ME",2014,"Mexicans",5
"737","North","Spokane","MT, ID, WA",2014,"Mexicans",219
"738","North","Swanton","NH, VT, NY",2014,"Mexicans",75
"739","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2014,"Mexicans",1665
"740","Southwest","Big Bend","TX",2014,"Mexicans",3164
"741","Southwest","Del Rio","TX",2014,"Mexicans",10196
"742","Southwest","El Centro","CA",2014,"Mexicans",12511
"743","Southwest","El Paso","NM, TX",2014,"Mexicans",9904
"744","Southwest","Laredo","TX",2014,"Mexicans",26540
"745","Southwest","Rio Grande Valley","TX",2014,"Mexicans",63468
"746","Southwest","San Diego","CA",2014,"Mexicans",27871
"747","Southwest","Tucson","AZ",2014,"Mexicans",68870
"748","Southwest","Yuma","CA, AZ",2014,"Mexicans",4247
"749","Southwest","All","CA, AZ, NM, TX",2014,"Mexicans",226771
"750","United States","","USA",2014,"Mexicans",229178
"751","Coast","Livermore","CA",2015,"All",NA
"752","Coast","Miami","FL, GA, SC, NC",2015,"All",1752
"753","Coast","New Orleans","LA, AL, MS, FL",2015,"All",849
"754","Coast","Ramey","PR",2015,"All",557
"755","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2015,"All",3158
"756","North","Blaine","WA, OR",2015,"All",282
"757","North","Buffalo","NY, PA",2015,"All",291
"758","North","Detroit","OH, MI, IN, IL",2015,"All",637
"759","North","Grand Forks","WI, MN, ND",2015,"All",789
"760","North","Havre","MT",2015,"All",64
"761","North","Houlton","ME",2015,"All",32
"762","North","Spokane","MT, ID, WA",2015,"All",190
"763","North","Swanton","NH, VT, NY",2015,"All",341
"764","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2015,"All",2626
"765","Southwest","Big Bend","TX",2015,"All",5031
"766","Southwest","Del Rio","TX",2015,"All",19013
"767","Southwest","El Centro","CA",2015,"All",12820
"768","Southwest","El Paso","NM, TX",2015,"All",14495
"769","Southwest","Laredo","TX",2015,"All",35888
"770","Southwest","Rio Grande Valley","TX",2015,"All",147257
"771","Southwest","San Diego","CA",2015,"All",26290
"772","Southwest","Tucson","AZ",2015,"All",63397
"773","Southwest","Yuma","CA, AZ",2015,"All",7142
"774","Southwest","All","CA, AZ, NM, TX",2015,"All",331333
"775","United States","","USA",2015,"All",337117
"776","Coast","Livermore","CA",2015,"Mexicans",NA
"777","Coast","Miami","FL, GA, SC, NC",2015,"Mexicans",273
"778","Coast","New Orleans","LA, AL, MS, FL",2015,"Mexicans",394
"779","Coast","Ramey","PR",2015,"Mexicans",1
"780","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2015,"Mexicans",668
"781","North","Blaine","WA, OR",2015,"Mexicans",67
"782","North","Buffalo","NY, PA",2015,"Mexicans",137
"783","North","Detroit","OH, MI, IN, IL",2015,"Mexicans",427
"784","North","Grand Forks","WI, MN, ND",2015,"Mexicans",563
"785","North","Havre","MT",2015,"Mexicans",46
"786","North","Houlton","ME",2015,"Mexicans",1
"787","North","Spokane","MT, ID, WA",2015,"Mexicans",153
"788","North","Swanton","NH, VT, NY",2015,"Mexicans",43
"789","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2015,"Mexicans",1437
"790","Southwest","Big Bend","TX",2015,"Mexicans",2177
"791","Southwest","Del Rio","TX",2015,"Mexicans",10874
"792","Southwest","El Centro","CA",2015,"Mexicans",11320
"793","Southwest","El Paso","NM, TX",2015,"Mexicans",10677
"794","Southwest","Laredo","TX",2015,"Mexicans",25766
"795","Southwest","Rio Grande Valley","TX",2015,"Mexicans",48173
"796","Southwest","San Diego","CA",2015,"Mexicans",24269
"797","Southwest","Tucson","AZ",2015,"Mexicans",48916
"798","Southwest","Yuma","CA, AZ",2015,"Mexicans",3845
"799","Southwest","All","CA, AZ, NM, TX",2015,"Mexicans",186017
"800","United States","","USA",2015,"Mexicans",188122
"801","Coast","Livermore","CA",2016,"All",NA
"802","Coast","Miami","FL, GA, SC, NC",2016,"All",3205
"803","Coast","New Orleans","LA, AL, MS, FL",2016,"All",764
"804","Coast","Ramey","PR",2016,"All",694
"805","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2016,"All",4663
"806","North","Blaine","WA, OR",2016,"All",271
"807","North","Buffalo","NY, PA",2016,"All",226
"808","North","Detroit","OH, MI, IN, IL",2016,"All",716
"809","North","Grand Forks","WI, MN, ND",2016,"All",505
"810","North","Havre","MT",2016,"All",43
"811","North","Houlton","ME",2016,"All",25
"812","North","Spokane","MT, ID, WA",2016,"All",206
"813","North","Swanton","NH, VT, NY",2016,"All",291
"814","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2016,"All",2283
"815","Southwest","Big Bend","TX",2016,"All",6366
"816","Southwest","Del Rio","TX",2016,"All",23078
"817","Southwest","El Centro","CA",2016,"All",19448
"818","Southwest","El Paso","NM, TX",2016,"All",25634
"819","Southwest","Laredo","TX",2016,"All",36562
"820","Southwest","Rio Grande Valley","TX",2016,"All",186830
"821","Southwest","San Diego","CA",2016,"All",31891
"822","Southwest","Tucson","AZ",2016,"All",64891
"823","Southwest","Yuma","CA, AZ",2016,"All",14170
"824","Southwest","All","CA, AZ, NM, TX",2016,"All",408870
"825","United States","","USA",2016,"All",415816
"826","Coast","Livermore","CA",2016,"Mexicans",NA
"827","Coast","Miami","FL, GA, SC, NC",2016,"Mexicans",652
"828","Coast","New Orleans","LA, AL, MS, FL",2016,"Mexicans",388
"829","Coast","Ramey","PR",2016,"Mexicans",0
"830","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2016,"Mexicans",1040
"831","North","Blaine","WA, OR",2016,"Mexicans",40
"832","North","Buffalo","NY, PA",2016,"Mexicans",82
"833","North","Detroit","OH, MI, IN, IL",2016,"Mexicans",504
"834","North","Grand Forks","WI, MN, ND",2016,"Mexicans",352
"835","North","Havre","MT",2016,"Mexicans",12
"836","North","Houlton","ME",2016,"Mexicans",7
"837","North","Spokane","MT, ID, WA",2016,"Mexicans",149
"838","North","Swanton","NH, VT, NY",2016,"Mexicans",23
"839","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2016,"Mexicans",1169
"840","Southwest","Big Bend","TX",2016,"Mexicans",2728
"841","Southwest","Del Rio","TX",2016,"Mexicans",12953
"842","Southwest","El Centro","CA",2016,"Mexicans",14361
"843","Southwest","El Paso","NM, TX",2016,"Mexicans",13660
"844","Southwest","Laredo","TX",2016,"Mexicans",25337
"845","Southwest","Rio Grande Valley","TX",2016,"Mexicans",46334
"846","Southwest","San Diego","CA",2016,"Mexicans",25380
"847","Southwest","Tucson","AZ",2016,"Mexicans",46494
"848","Southwest","Yuma","CA, AZ",2016,"Mexicans",3513
"849","Southwest","All","CA, AZ, NM, TX",2016,"Mexicans",190760
"850","United States","","USA",2016,"Mexicans",192969
